Metric,Formula,Description
CAGR,(1+R%)^(365/Days)-1,Annualised compound growth
Trade Return,(P1/P0-1)xDir - 2xFee,Net per-trade return (1-bar shift)
Profit Factor,Sum(Wins)/Sum(|Losses|),Gross profit / gross loss
Sharpe,mu/sigma x sqrt(N),Total-vol risk-adjusted return
Sortino,mu/sigma_down x sqrt(N),Downside-vol risk-adjusted return
Calmar,Return%/|MaxDD%|,Return vs worst drawdown
Omega Ratio,Sum(Pos)/Sum(|Neg|),Probability-weighted ratio
Ulcer Index,sqrt(Mean(DD%^2)),Sustained drawdown pain metric
Recovery Factor,Return%/|MaxDD%|,Capital recovery performance
Tail Ratio,P95_ret/P5_ret,Extreme win vs loss ratio
SQN,(Expectancy/Std) x sqrt(N),Van Tharp System Quality Number
Kelly f*,(p x b - q)/b,Optimal fractional bet size
Risk of Ruin,((1-e)/(1+e))^N,Analytic probability of 50% ruin
Hurst,R/S method,">0.5 trending, <0.5 mean-reverting"
Ljung-Box Q,n(n+2)Sum(rho_k^2/(n-k)),Autocorrelation test; p<0.05 serial
Robustness,% +-5 EMA neighbours profitable,Overfit guard / parameter stability
Walk-Forward OOS,3-fold IS->OOS,True out-of-sample validation
Monte Carlo,500x bootstrap P5/P50/P95,Equity distribution under resampling
Regime,Rolling 50-bar return,Bull/Bear/Sideways market label
Lookahead Delta,Unshifted - Shifted return,Phantom profit from same-bar exec
Trade Return,(P1/P0-1)xDir - 2xFee,Net per-trade return (1-bar shift)
